epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.622,1.74014,3.46098,1.71577,0.00491,0.89949,0.05348,0.01908,1.79131,3.81092,1.7581,0.00013336,0.00013336,0.00013336
2,118.224,1.55117,2.54529,1.49006,0.0274,0.63283,0.1934,0.10981,1.49603,3.39613,1.51618,0.000282284,0.000282284,0.000282284
3,176.779,1.50673,2.10504,1.45314,0.50277,0.15983,0.29049,0.14067,1.61849,2.98404,1.48309,0.00042668,0.00042668,0.00042668
4,233.887,1.41327,1.80853,1.35074,0.45041,0.10823,0.28321,0.12678,1.78433,3.23318,1.68722,0.000563169,0.000563169,0.000563169
5,290.822,1.44253,1.77455,1.36036,0.63298,0.14141,0.1898,0.07736,1.49479,3.00564,1.39939,0.00068857,0.00068857,0.00068857
6,348.527,1.44505,1.74689,1.36813,0.48146,0.21313,0.22802,0.09773,1.44236,3.00956,1.4236,0.000799986,0.000799986,0.000799986
7,406.392,1.42848,1.63752,1.35993,0.47298,0.29472,0.2991,0.12401,1.61295,2.71588,1.46866,0.00089488,0.00089488,0.00089488
8,475.914,1.42517,1.64517,1.35567,0.37916,0.32727,0.2804,0.13183,1.69569,2.67507,1.53733,0.000971149,0.000971149,0.000971149
9,541.504,1.40972,1.62122,1.33766,0.41095,0.36919,0.30512,0.14016,1.7407,2.66894,1.57356,0.00102718,0.00102718,0.00102718
10,605.905,1.39384,1.53334,1.33803,0.49166,0.33535,0.35708,0.1603,1.76978,2.45255,1.56489,0.00106192,0.00106192,0.00106192
11,661.506,1.33274,1.46696,1.30435,0.54087,0.56566,0.48665,0.23146,1.66793,2.3545,1.63213,0.00107489,0.00107489,0.00107489
12,717.361,1.35971,1.4852,1.34099,0.52521,0.4798,0.40378,0.18069,1.81174,2.45419,1.69187,0.000996456,0.000996456,0.000996456
13,772.949,1.39645,1.46578,1.35906,0.48335,0.42273,0.38471,0.18641,1.83253,2.48933,1.76019,0.000893648,0.000893648,0.000893648
14,830.206,1.2942,1.30535,1.27215,0.51301,0.48434,0.44944,0.25608,1.59372,2.43128,1.54385,0.000790022,0.000790022,0.000790022
15,887.386,1.27918,1.32053,1.2886,0.58296,0.43889,0.42783,0.2203,1.81363,2.32846,1.72478,0.000687214,0.000687214,0.000687214
16,944.859,1.26699,1.33085,1.23833,0.53954,0.47828,0.41269,0.20283,1.79093,2.35298,1.65352,0.000586845,0.000586845,0.000586845
17,1000.15,1.17221,1.25086,1.20989,0.48777,0.51566,0.443,0.23232,1.64243,2.39437,1.57049,0.000490497,0.000490497,0.000490497
18,1054.91,1.19662,1.1802,1.21794,0.53651,0.65042,0.59649,0.33469,1.59416,2.10502,1.52412,0.000399689,0.000399689,0.000399689
19,1109.92,1.13863,1.14702,1.21243,0.61256,0.65808,0.64641,0.34651,1.60107,1.9705,1.56762,0.000315855,0.000315855,0.000315855
20,1165.27,1.15244,1.11447,1.1872,0.6888,0.5522,0.60764,0.34196,1.63273,1.89169,1.53164,0.000240316,0.000240316,0.000240316
21,1220.22,1.0758,1.02876,1.15308,0.61747,0.67121,0.63653,0.36203,1.60608,1.80196,1.52139,0.000174262,0.000174262,0.000174262
22,1274.88,1.08627,1.00912,1.14691,0.65631,0.69141,0.6781,0.37453,1.60181,1.70265,1.5199,0.000118737,0.000118737,0.000118737
23,1329.16,1.00414,0.96564,1.10812,0.68716,0.66762,0.68953,0.3828,1.61278,1.63593,1.52207,7.4616e-05,7.4616e-05,7.4616e-05
24,1384.94,1.04527,1.00475,1.14231,0.76491,0.6555,0.70457,0.39566,1.60981,1.58962,1.51065,4.25941e-05,4.25941e-05,4.25941e-05
25,1440.03,1.01718,0.96454,1.11984,0.75135,0.66502,0.7018,0.40081,1.60105,1.5934,1.51498,2.31767e-05,2.31767e-05,2.31767e-05
